uniqueID,DELETE_UseName,DELETE_surname,DELETE_otherNames,DELETE_title,DELETE_commonName,DELETE_earlierOrLaterNames,division,state,DELETE_electionDate,electionDate,electionDay,electionMonth,electionYear,byElection,reasonCeasedToBeMember,changedSeat,ceasedToBeMemberDate,ceasedToBeMemberYear,ceasedToBeMemberMonth,ceasedToBeMemberDay,Comment
bealejulian1984,Julian,Beale,Julian Howard,,,,Deakin,VIC,1.12.1984,1984-12-1,1,12,1984,No,Until elected for Bruce ,1,1990-3-24,1990,3,24,
,,,,,,,Bruce,VIC,24.3.1990,1990-3-24,24,3,1990,No,Defeated,,1996-3-2,1996,3,2,
bealeoliver1946,Oliver,Beale,Oliver Howard,,,,Parramatta,NSW,28.9.1946,1946-9-28,28,9,1946,No,Resigned,,1958-2-10,1958,2,10,
beardhenry1910,Henry,Beard,Henry Elisha,,,,Batman,VIC,13.4.1910,1910-4-13,13,4,1910,No,Died,,1910-12-18,1910,12,18,
beasleyjohn1928,John,Beasley,John Albert,,,,West Sydney,NSW,17.11.1928,1928-11-17,17,11,1928,No,Resigned,,1946-8-14,1946,8,14,
beatonnoel1960,Noel,Beaton,Noel Lawrence,,,,Bendigo,VIC,16.7.1960,1960-7-16,16,7,1960,Yes,Resigned,,1969-4-9,1969,4,9,
beazleykim1980,Kim,Beazley,Kim Christian,,,,Swan,WA,18.10.1980,1980-10-18,18,10,1980,No,Until elected for Brand ,1,1996-3-2,1996,3,2,
,,,,,,,Brand,WA,2.3.1996,1996-3-2,2,3,1996,No,Retired,,2007-10-17,2007,10,17,
beazleykim1945,Kim,Beazley,Kim Edward,,,,Fremantle,WA,18.8.1945,1945-8-18,18,8,1945,Yes,Retired,,1977-11-10,1977,11,10,
beckarthur1940,Arthur,Beck,Arthur James,,,,Denison,TAS,21.9.1940,1940-9-21,21,9,1940,No,Defeated,,1943-8-21,1943,8,21,
beddalldavid1983,David,Beddall,David Peter,,,,Fadden,QLD,5.3.1983,1983-3-5,5,3,1983,No,Until elected for Rankin ,1,1984-12-1,1984,12,1,
,,,,,,,Rankin,QLD,1.12.1984,1984-12-1,1,12,1984,No,Retired,,1998-8-31,1998,8,31,
bellgeorge1919,George,Bell,George John,,,Later Sir George,Darwin,TAS,13.12.1919,1919-12-13,13,12,1919,No,Defeated,,1922-12-16,1922,12,16,Name of Darwin electorate changed to Braddon by resolution of Parliament following the redistribution of electoral boundaries 1955.
,,,,,,,Darwin,TAS,14.11.1925,1925-11-14,14,11,1925,No,Retired,,1943-7-7,1943,7,7,Name of Darwin electorate changed to Braddon by resolution of Parliament following the redistribution of electoral boundaries 1955.
bennettadrian1969,Adrian,Bennett,Adrian Frank,,,,Swan,WA,25.10.1969,1969-10-25,25,10,1969,No,Defeated,,1975-12-13,1975,12,13,
bennettbenjamin1912,Benjamin,Bennett,Benjamin Holland,,,,Werriwa,NSW,1.6.1912,1912-6-1,1,6,1912,Yes,Retired,,1913-4-23,1913,4,23,
bennettjames1913,James,Bennett,James,,,,Gippsland,VIC,31.5.1913,1913-5-31,31,5,1913,No,Defeated,,1914-9-5,1914,9,5,
bensonsamuel1962,Samuel,Benson,Samuel James,,,,Batman,VIC,1.9.1962,1962-9-1,1,9,1962,Yes,Retired,,1969-9-29,1969,9,29,
berinsonjoe1969,Joe,Berinson,Joseph Max,,Joe,,Perth,WA,25.10.1969,1969-10-25,25,10,1969,No,Defeated,,1975-12-13,1975,12,13,
berrydouglas1949,Douglas,Berry,Douglas Reginald,,,,Griffith,QLD,10.12.1949,1949-12-10,10,12,1949,No,Defeated,,1954-5-29,1954,5,29,
bestrobert1910,Robert,Best,Robert Wallace,Sir,,,Kooyong,VIC,24.8.1910,1910-8-24,24,8,1910,Yes,Defeated,,1922-12-16,1922,12,16,
bevisarchibald1990,Archibald,Bevis,Archibald Ronald,,,,Brisbane,QLD,24.3.1990,1990-3-24,24,3,1990,No,Defeated,,2010-8-21,2010,8,21,
bidgoodjames2007,James,Bidgood,James Mark,,,,Dawson,QLD,24.11.2007,2007-11-24,24,11,2007,No,Retired,,2010-7-19,2010,7,19,
billsonbruce1996,Bruce,Billson,Bruce Fredrick,,,,Dunkley,VIC,2.3.1996,1996-3-2,2,3,1996,No,Retired,,2016-5-9,2016,5,9,
bilneygordon1983,Gordon,Bilney,Gordon Neil,,,,Kingston,SA,5.3.1983,1983-3-5,5,3,1983,No,Defeated,,1996-3-2,1996,3,2,
birdalan1949,Alan,Bird,Alan Charles,,,,Batman,VIC,10.12.1949,1949-12-10,10,12,1949,No,Died,,1962-7-21,1962,7,21,
birdsharon2004,Sharon,Bird,Sharon Leah,,,,Cunningham,NSW,9.10.2004,2004-10-9,9,10,2004,No,,,,,,,
birneyreginald1975,Reginald,Birney,Reginald John,,,,Phillip,NSW,13.12.1975,1975-12-13,13,12,1975,No,Defeated,,1983-3-5,1983,3,5,
birrellfrederick1963,Frederick,Birrell,Frederick Ronald,,,,Port Adelaide,SA,30.11.1963,1963-11-30,30,11,1963,No,Retired,,1974-4-11,1974,4,11,
bishopbronwyn1994,Bronwyn,Bishop,Bronwyn Kathleen,,,,Mackellar,NSW,26.3.1994,1994-3-26,26,3,1994,Yes,Retired,,2016-5-9,2016,5,9,
