government,topic,median,upper,lower
5,3,-1.6940548365350443,-1.5033503638829149,-1.9002338154318228
5,4,-2.316714898330261,-2.1114737528721097,-2.5169544933143824
5,5,-0.24044210734709537,-0.050571472664101516,-0.42243145753976197
5,6,-1.7541402535280421,-1.5531014703351564,-1.9591731962232484
5,7,-2.073180118403708,-1.8696315411374977,-2.272276074060737
5,8,-1.576397627808209,-1.3585691741684418,-1.7780816650921991
5,9,-2.4282603196206125,-2.217061258002872,-2.6475581438626654
5,10,-1.555040170013495,-1.3707926645488229,-1.7438827720587777
5,11,-1.7613887496440612,-1.5642266232715203,-1.9561894967527573
5,12,-2.1338488088964223,-1.9267717372205355,-2.3390257057836807
5,13,-1.116188953024578,-0.9140207129156585,-1.317322335894353
5,14,-1.9234404044956863,-1.7235923767123955,-2.121365974010212
5,15,-1.5660891297115211,-1.3519845600176328,-1.7723427840474562
5,16,-2.047480511964392,-1.8464273323428124,-2.265234939985367
5,17,-2.1958882248741523,-2.0037932665992986,-2.396230774369042
5,18,-1.7756745205697064,-1.5678487610870704,-1.9799116642116128
5,19,-2.1158877032883376,-1.9209853123144551,-2.317038416832301
5,20,-1.1180097518701215,-0.9275597215731368,-1.3025173534654941
5,21,-1.8003869171372946,-1.604739199469982,-1.9849248289597146
5,22,-0.5136853029902829,-0.3382353767907265,-0.7071819545568376
5,23,-2.097008404151402,-1.8895873164031494,-2.3084978189596574
5,24,-1.6014733621481196,-1.4123759474006627,-1.815495799012454
5,25,-2.3023910242258365,-2.097217288804593,-2.5106680944728823
5,26,-1.8885122417169116,-1.677150421593996,-2.0832207055264296
5,27,-1.8662086035134007,-1.668451809390781,-2.073700548251459
5,28,-1.6207672507214368,-1.4262419277454272,-1.8187510271730527
5,29,-1.9746282184369708,-1.7647501256922749,-2.183997909586069
5,30,-1.920235789838356,-1.7367789562809266,-2.1418406755119364
5,31,-1.943131139389506,-1.7488883743246584,-2.1465686736842695
5,32,-1.5788785542392763,-1.3855169005244587,-1.770807480711188
5,33,-2.338934308926296,-2.148470416540189,-2.5402249296006967
5,34,-1.786347803396592,-1.5888017325054609,-1.9823634898294171
5,35,-2.117654022312739,-1.9147286998413973,-2.310569656795443
5,36,-1.1741437667145949,-0.9827357347622417,-1.375052687327096
5,37,-1.9282049746413708,-1.7358108312983567,-2.1331680387550467
5,38,-1.876268984769185,-1.682589220672559,-2.0734470883625016
5,39,-2.072460827871231,-1.8644318852419972,-2.2897410488344376
5,40,-1.471200458905908,-1.280322021229903,-1.6889101386959309
5,41,-1.1656007464786784,-0.9773376651912368,-1.36566029926217
5,42,-1.870506508023718,-1.6784453128773615,-2.079352353274963
5,43,-2.197257639858128,-2.0084928293771496,-2.405069810478798
5,44,-2.1633720378582084,-1.9640321144626756,-2.372310715480401
5,45,-1.5954650387887397,-1.3863913796850384,-1.8023928984844386
5,46,-2.091362816699509,-1.9000400861560678,-2.2955958644006107
5,47,-2.3947250587625772,-2.203963843998397,-2.5885293523597204
5,48,-1.9478210121174209,-1.7412456284706996,-2.1483840148415503
5,49,-1.8335806677184627,-1.6396120359226944,-2.037965040338641
5,50,-1.6810537356037134,-1.4704114101379226,-1.8814890914148814
5,51,-1.4146112642877071,-1.2240746577877095,-1.6044090243168134
5,52,-1.1476605514318674,-0.9630095156892593,-1.34544813850863
5,53,-2.379878619287732,-2.175695097600059,-2.5899518038043037
5,54,-1.7115709000351922,-1.5202342648750424,-1.9013016670673581
5,55,-1.5317057691741414,-1.3376612420758398,-1.7281775860672253
5,56,-2.102906097825209,-1.9025077727479274,-2.2988197121071297
5,57,-0.5053393458621538,-0.3163712821047573,-0.6835541706612167
5,58,-2.0282574000091107,-1.825350681655513,-2.2305453968758258
5,59,-0.13301943809890038,0.0336489850866511,-0.300689707465148
5,60,-1.3668953161188107,-1.1695321177668903,-1.5754951367191141
6,1,-1.095246018481929,0.22722833241350526,-2.2644648552470934
6,2,-1.9372161542905477,-0.8764016399197285,-3.1740716332163768
6,3,-0.8814740476409929,0.8589157618509378,-2.142497837517846
6,4,-2.215509776018388,-1.0164909004774845,-3.5345312083983127
6,5,2.7796533411316977,4.4116388014496435,2.042228929458695
6,6,-1.8592955408367509,-0.8623169603388579,-2.891677010668863
6,7,-2.081209141040178,-1.102688673191783,-3.3683881829502735
6,8,-0.7045800706865959,0.7863731491412321,-1.8675381452180466
6,9,-2.3506547297411835,-1.2737107117204345,-3.550857202942837
6,10,-1.3831203427939922,-0.3128488738712636,-2.539058437141353
6,11,-1.967753804817394,-0.8204914266796264,-3.1033801932151444
6,12,-1.9910764348845484,-0.8453187592131336,-3.215380665392143
6,13,-0.8958269218658534,0.4703118972698518,-2.025474959394984
6,14,-2.1329539278737153,-0.9876693354293964,-3.3002237570131316
6,15,-1.297387373896942,-0.16709972173508675,-2.489640998741785
6,16,-2.0457983806860316,-0.9913914916532435,-3.1962157845049375
