uniqueID,division,state,electionDate,electionDay,electionMonth,electionYear,byElection,reasonCeasedToBeMember,changedSeat,ceasedToBeMemberDate,ceasedToBeMemberYear,ceasedToBeMemberMonth,ceasedToBeMemberDay,Comment
bowdeneric1906,Nepean,NSW,1906-12-12,12,12,1906,No,Defeated,NA,1910-04-13,1910,4,13,NA
bowdeneric1906,Nepean,NSW,1919-12-13,13,12,1919,No,Until elected for Parramatta,1,1922-12-16,1922,12,16,NA
bowdeneric1906,Parramatta,NSW,1922-12-16,16,12,1922,No,Defeated,NA,1929-10-12,1929,10,12,NA
bowdengeorge1943,Gippsland,VIC,1943-08-21,21,8,1943,No,Retired,NA,1961-11-02,1961,11,2,NA
bowenchristopher2004,Prospect,NSW,2004-10-09,9,10,2004,No,Until elected for McMahon,1,2010-08-21,2010,8,21,NA
bowenchristopher2004,McMahon,NSW,2010-08-21,21,8,2010,No,NA,NA,NA,NA,NA,NA,NA
bowenlionel1969,Kingsford-Smith,NSW,1969-10-25,25,10,1969,No,Retired,NA,1990-02-19,1990,2,19,Same as Kingsford Smith - name was changed in 2001
bowennigel1964,Parramatta,NSW,1964-06-20,20,6,1964,Yes,Resigned,NA,1973-07-11,1973,7,11,NA
boydjames1913,Henty,VIC,1913-05-31,31,5,1913,No,Defeated,NA,1919-12-13,1919,12,13,NA
bradburydavid2007,Lindsay,NSW,2007-11-24,24,11,2007,No,Defeated,NA,2013-09-07,2013,9,7,NA
braddonedward1901,Tasmania,TAS,1901-03-29,29,3,1901,No,Until elected for Wilmot,1,1903-12-16,1903,12,16,NA
braddonedward1901,Wilmot,TAS,1903-12-16,16,12,1903,No,Died,NA,1904-02-02,1904,2,2,NA
bradfieldjames1975,Barton,NSW,1975-12-13,13,12,1975,No,Defeated,NA,1983-03-05,1983,3,5,NA
bradfordjohn1990,McPherson,QLD,1990-03-24,24,3,1990,No,Defeated,NA,1998-10-03,1998,10,3,NA
braithwaiteray1975,Dawson,QLD,1975-12-13,13,12,1975,No,Retired,NA,1996-01-29,1996,1,29,NA
brandwilliam1954,Wide Bay,QLD,1954-05-29,29,5,1954,No,Retired,NA,1958-10-14,1958,10,14,NA
breenjohn1940,Calare,NSW,1940-09-21,21,9,1940,No,Defeated,NA,1946-09-28,1946,9,28,NA
brennanfrank1911,Batman,VIC,1911-02-08,8,2,1911,Yes,Defeated,NA,1931-12-19,1931,12,19,NA
brennanfrank1911,Batman,VIC,1934-09-15,15,9,1934,No,Retired,NA,1949-10-31,1949,10,31,NA
