original; corrected
Mr DEAKIN\.\'; Mr DEAKIN
Mr CONEOY:; Mr CONROY
Mr M c CAY; Mr MCCAY
Mr M c C AY; Mr MCCAY
Mr ISAACS \.; Mr ISAACS
BART ON; BARTON
\. Mr ISAACS; Mr ISAACS
1 Sir EDMUND BARTON; Sir EDMUND BARTON
agreed . Mr CROUCH; Mr CROUCH
honorable Mr HIGGINS; Mr HIGGINS
Mr BAMFOBD; Mr BAMFORD
Mr CHOUCH; Mr CROUCH
Mr CONBOY; Mr CONROY
Mr CONEOY; Mr CONROY 
Mr DEAKIH; Mr DEAKIN
Mr DEAKIJT; Mr DEAKIN
Mr GONHOY; Mr CONROY
Mr HENRYWILLIS; Mr HENRY WILLIS
Mr HIGGI NS; Mr HIGGINS
Mr PACE; Mr PAGE
Mr POYNTON; Mr POYXTON
Mr SVDNEY SMITH; Mr SYDNEY SMITH
Mr SYDNEY SMITQ; Mr SYDNEY SMITH
Mr TTJDOR; Mr TUDOR
Sir EDMUNDBARTON; Sir EDMUND BARTON
Sir JOHN FOB\,REST; Sir JOHN FORREST
Sir JOHN FOEKEST; Sir JOHN FORREST
Sir JOHNQUI CK; Sir JOHN QUICK
Sir PHILIP PYSH; Sir PHILIP FYSH
Sir PHILIPFYSH; Sir PHILIP FYSH
Sir PHILIPPYSH; Sir PHILIP FYSH
