original; corrected
sailors gully; sailors_gully
sandhurst east; sandhurst_east
spring gully; spring_gully
tysons reef; tysons_reef
white hills; white_hills
axe creek; axe_creek
bagshot north; bagshot_north
big hill; big_hill
emu creek; emu_creek
huntly north; huntly_north
ladys pass; ladys_pass
lockwood south; lockwood_south
maiden gully; maiden_gully
mandurang south; mandurang_south
mia mia; mia_mia
myers flat; myers_flat
myrtle creek; myrtle_creek
wilsons hill; wilsons_hill
baringhup west; baringhup_west
barkers creek; barkers_creek
campbells creek; campbells_creek
chewton bushlands; chewton_bushlands
golden point; golden_point
green gully; green_gully
harcourt north; harcourt_north
joyces creek; joyces_creek
mckenzie hill; mckenzie_hill
metcalfe east; metcalfe_east
moonlight flat; moonlight_flat
muckleford south; muckleford_south
ravenswood south; ravenswood_south
sutton grange; sutton_grange
welshmans reef; welshmans_reef
yandoit hills; yandoit_hills
adelaide lead; adelaide_lead
archdale junction; archdale_junction
bet bet; bet_bet
bung bong; bung_bong
daisy hill; daisy_hill
mount cameron; mount_cameron
mount glasgow; mount_glasgow
mount hooghly; mount_hooghly
red lion; red_lion
stony creek; stony_creek
timor west; timor_west
cross roads; cross_roads
lake goldsmith; lake_goldsmith
lake wongan; lake_wongan
langi kal kal; langi_kal_kal
lower homebush; lower_homebush
main lead; main_lead
mena park; mena_park
mount emu; mount_emu
mount lonarch; mount_lonarch
nowhere creek; nowhere_creek
rathscar west; rathscar_west
snake valley; snake_valley
stockyard hill; stockyard_hill
cabbage tree; cabbage_tree
creswick north; creswick_north
drummond north; drummond_north
dry diggings; dry_diggings
elevated plains; elevated_plains
hepburn springs; hepburn_springs
langdons hill; langdons_hill
leonards hill; leonards_hill
little hampton; little_hampton
mount beckworth; mount_beckworth
mount franklin; mount_franklin
mount prospect; mount_prospect
musk vale; musk_vale
newlyn north; newlyn_north
north blackwood; north_blackwood
porcupine ridge; porcupine_ridge
sailors falls; sailors_falls
sailors hill; sailors_hill
shepherds flat; shepherds_flat
smokey town; smokey_town
trentham east; trentham_east
tylden south; tylden_south
bakery hill; bakery_hill
bald hills; bald_hills
ballarat central; ballarat_central
ballarat east; ballarat_east
ballarat north; ballarat_north
black hill; black_hill
bo peep; bo_peep
brown hill; brown_hill
bunkers hill; bunkers_hill
cardigan village; cardigan_village
chapel flat; chapel_flat
coghills creek; coghills_creek
durham lead; durham_lead
glen park; glen_park
gong gong; gong_gong
invermay park; invermay_park
lake gardens; lake_gardens
lake wendouree; lake_wendouree
miners rest; miners_rest
mitchell park; mitchell_park
mount bolton; mount_bolton
mount clear; mount_clear
mount helen; mount_helen
mount pleasant; mount_pleasant
mount rowan; mount_rowan
scotchmans lead; scotchmans_lead
soldiers hill; soldiers_hill
barunah park; barunah_park
cambrian hill; cambrian_hill
cape clear; cape_clear
mount mercer; mount_mercer
