government,topic,median,upper,lower
6,6,-1.45944882677559,-1.1041226308555379,-1.8396432651724248
6,7,-1.5349088616357507,-1.1936045082976194,-1.8928171344236102
6,8,-0.9825580574072323,-0.6346227522926466,-1.3816412869673342
6,9,-1.0403581486190936,-0.6754115513582496,-1.4498457462108125
6,10,-1.1602552566248097,-0.8025005884073748,-1.5477959144847653
6,11,-0.6745559194621662,-0.32689966423074673,-1.0469903686614581
6,12,-1.3032693768440187,-0.9562235235006958,-1.6904579620290165
6,13,-0.7866989111134115,-0.42556689246055357,-1.1568593645215361
6,14,0.5445643219602612,0.8726292837944407,0.1956375239522386
6,15,-0.3048541542258582,0.07719165445607569,-0.7045269847777506
6,16,-1.3003990720598388,-0.9338893425295299,-1.6525470815652739
6,17,-0.4807069243038048,-0.11760305489762049,-0.8873947134147063
6,18,-0.628318182994526,-0.2713879553198421,-1.0402220261307986
7,1,-0.2965253877384141,-0.10729325720809714,-0.4938695688087951
7,2,-1.566013931209647,-1.3631122607151196,-1.7697350278489046
7,3,-1.7280734348464108,-1.5331788703356979,-1.942430481375328
7,4,-0.8008030971499221,-0.6091922309926191,-1.0033838305287137
7,5,-0.2978648975211271,-0.10255212384527039,-0.488222542929463
7,6,-1.8008206695703985,-1.6048272305384237,-2.0125799393587682
7,7,-1.9690382762700156,-1.766418360762933,-2.171997430217729
7,8,-1.437214771624939,-1.2436934081274178,-1.6467078620789752
7,9,-1.558786599923541,-1.3620031253759826,-1.7680501663134218
7,10,-1.4208123629952918,-1.2183852013507417,-1.6299292751379346
7,11,-1.1104714000050002,-0.9114836674624174,-1.316838372576232
7,12,-1.5889115495534174,-1.3920325249670602,-1.7936317525814078
7,13,-1.3732075359870763,-1.1737504022132321,-1.5816314576200294
7,14,0.08683626879182021,0.2718372713099028,-0.10720107552127837
7,15,-0.7487736774689362,-0.5630532778645084,-0.9482849949421137
7,16,-1.5831892219482455,-1.3900955891309814,-1.7877039096847183
7,17,-0.3812069188851064,-0.19164032962147204,-0.5825549046964859
7,18,-1.0058008449635931,-0.8145992889194066,-1.2197795031058356
8,1,-1.0444104861991952,-0.7958696058652633,-1.3228545830427354
8,2,-1.716485112843789,-1.5723826929870364,-1.893857534140962
8,3,-1.9082692952362974,-1.762185070330758,-2.079630977590382
8,4,-0.7728947652676736,-0.5803917885040556,-1.0403104434527182
8,5,-0.48020236748228795,-0.3449237969390292,-0.6377542891546082
8,6,-2.018859913015019,-1.8705430757430415,-2.203406874106918
8,7,-2.100343353589721,-1.9541691756248571,-2.2766105921687565
8,8,-1.477721996225757,-1.333007099493609,-1.6510930188021318
8,9,-1.71652415814324,-1.5725898290736586,-1.9026575122642817
8,10,-1.4992429292445064,-1.3504115829587904,-1.6806262501661742
8,11,-0.9655714458257171,-0.8264900660607999,-1.1231452632828969
8,12,-1.766941254841762,-1.6251654241937985,-1.9533972975240326
8,13,-1.486343934521308,-1.3302418588761344,-1.7091173000981263
8,14,-0.06759519990267321,0.06815583460032776,-0.2504019221407407
8,15,-1.05858402375552,-0.9197022480900532,-1.2198520569360998
8,16,-1.7642755889262602,-1.6140857720708037,-1.9587630474760909
8,17,-0.6783104253836032,-0.5395091006467724,-0.846269169146027
8,18,-1.231527241938524,-1.0871569440521207,-1.4066420204472485
9,1,-0.2942571637577984,-0.041270390606621986,-0.6465775358464257
9,2,-1.4036925357076777,-1.1932079774403606,-1.6584077391190375
9,3,-1.6203215905311477,-1.4058876746496236,-1.8882940820718759
9,4,-0.8305192083872637,-0.4930817110892474,-1.1971016725551538
9,5,0.011399957494022749,0.26463841307424535,-0.34160681033789375
9,6,-1.7744617466876884,-1.5622152382292749,-2.0316257649226013
9,7,-1.9007960659523093,-1.6776142213203853,-2.174028695209826
9,8,-1.2817447446889378,-1.0618041854762195,-1.5351444680176238
9,9,-1.5382611709557437,-1.317468318649247,-1.801716123479003
9,10,-1.2544184680941641,-1.0405050944537573,-1.5150484051924809
9,11,-0.9210245550724642,-0.7004481825463308,-1.179808919740827
9,12,-1.480022234131733,-1.2604557758729316,-1.7556083379489378
9,13,-1.236856145919155,-1.0096573028774096,-1.508344314139775
9,14,1.2000015448428898,1.4678007149273218,0.8525717496283869
9,15,-0.5119251963250444,-0.2806245355681153,-0.7915530544857106
9,16,-1.5619730780409808,-1.3435064409987887,-1.821582321451282
9,17,-0.4317375765973245,-0.21525790237242973,-0.7250528058815169
9,18,-1.1580930195471573,-0.9403124376210681,-1.4423471661863905
10,1,-0.27823684012621586,-0.07341930945557859,-0.5746995581387704
10,2,-1.6591884876040464,-1.4423606683866266,-1.9301724751448799
10,3,-1.71338025953411,-1.4984837428612772,-1.9702495962915967
10,4,-0.8159744852219141,-0.5893343256458328,-1.118809047710915
10,5,-0.44464930265368274,-0.20766176557855984,-0.8365092715416178
10,6,-1.957024283234817,-1.7496370164272657,-2.2113502955941042
10,7,-2.0332383257970212,-1.8106435146408633,-2.3093214079797857
10,8,-1.2082810783052154,-1.00660543909553,-1.468952177149012
10,9,-1.7724695879142907,-1.5512887900070418,-2.0345078741876987
10,10,-1.5173148828368308,-1.2766144463740863,-1.850015943794438
10,11,-0.9407965287940727,-0.6959137254044878,-1.3148012138311669
10,12,-1.6890516505089144,-1.468613772679686,-1.964741869724172
10,13,-1.4108077275681667,-1.1838021371138003,-1.733223443180962
10,14,0.0594384607649318,0.5066257350334588,-0.3829351829792341
10,15,-0.6638364651620966,-0.2268214901162095,-1.1056886150841971
10,16,-1.675532658412428,-1.4666156272409983,-1.9751227495786108
10,17,-0.6353273576407394,-0.4277710889018858,-0.9000718609666221
10,18,-0.952052376732903,-0.6866044374875758,-1.3511349525923642
11,1,-0.15356063331636272,-0.038299920751523914,-0.2946146631999788
11,2,-1.7060314080084267,-1.5998166752331398,-1.8268305476128557
11,3,-1.8429465742829367,-1.7387522342157855,-1.9672932731852268
11,4,-0.6695393347460223,-0.5623754040639752,-0.7979966472001118
11,5,-0.5292822604346887,-0.3857777112961632,-0.6763195176151865
