election,topic,median,upper,lower
25,9,-0.009468229342317162,-5.505324426763965e-4,-0.018651548316788058
25,10,0.015314945726047864,0.02409667032423357,0.006377333303618669
25,11,-0.016133489878214526,-0.007388227220592413,-0.025352723279578777
25,12,-0.0029290649750412286,0.006000699754241563,-0.012044038734756481
25,13,-0.004795641969351128,0.004070024812406989,-0.014173596205126511
25,14,-0.023543322278025573,-0.014461628551181775,-0.03233308888631861
25,15,-0.030608362150264835,-0.021920077170316642,-0.0395567152060858
25,16,0.006322793505206696,0.015311685756498557,-0.003076303795868173
25,17,0.0025248313503960767,0.010377447772181997,-0.005998049321080517
25,18,0.018676228014480156,0.02566493659934491,0.011476525564456039
26,1,-0.009609395147013918,-2.6277158256209944e-4,-0.018868036226857603
26,2,-0.005158708398684677,0.005623439571813427,-0.015703046421183853
26,3,-0.006600490016067445,0.00427411475569362,-0.01708686852573414
26,4,-0.011663650639700197,-0.0012953762995899544,-0.021522977482256636
26,5,0.009242779206503663,0.019068476643707654,-5.160371281216559e-4
26,6,-0.005026882747018901,0.006106018697442676,-0.015878577290203342
26,7,-0.013617207284590396,-0.0027824736711643816,-0.024465393655508646
26,8,-0.009472514658294798,0.0010343856870481448,-0.020212087166528662
26,9,-0.00875516825115267,0.0020115237371073026,-0.020248862974004137
26,10,0.012704466328425245,0.022856823976441246,0.0028690242779564135
26,11,-0.008329016729778514,0.0025550438131547765,-0.019378158118704525
26,12,-0.007674579231652356,0.002713691788936403,-0.018598128866527338
26,13,-0.012748740508806143,-0.0017212548364201733,-0.024050983297563965
26,14,-0.015552980501525577,-0.004918361950355045,-0.02567228061985696
26,15,-0.004906871592370369,0.005244257292554204,-0.015295299852437534
26,16,0.0060273901906070515,0.016727070320701566,-0.004778919114734171
26,17,-0.0038297840929556633,0.0061461307888772175,-0.013571416712263706
26,18,0.015420831796826252,0.02417413405380954,0.006814850132839427
27,1,6.95838859634864e-5,0.007190136158387831,-0.007207427087684661
27,2,-0.00920392796675051,-8.644603388709748e-4,-0.017693274444793752
27,3,0.004117334595401728,0.012915919183746665,-0.004543072345835781
27,4,9.118291983399281e-5,0.008152403640264877,-0.007834579626201503
27,5,0.004156986811153619,0.011669027237106843,-0.0032147392108990806
27,6,-0.006502612866708538,0.002218214518234769,-0.014780611635401612
27,7,-0.011520209205551375,-0.0025006926000766816,-0.02069195906006361
27,8,-0.010167714065767473,-0.001666289525550289,-0.018909223735123524
27,9,-0.010074865978874107,-0.0015572517130619634,-0.018642291427499676
27,10,-0.007159113940612558,7.4653317785481e-4,-0.015337828741583058
27,11,-0.00199148142041894,0.006422085880880135,-0.01050849732868477
27,12,0.002968666450849992,0.011696201821681728,-0.005941697489814688
27,13,-0.006520887846239795,0.0017079135382740524,-0.015321181864495787
27,14,-0.011069495750163028,-0.002397522116602379,-0.019500965711820015
27,15,-0.009091866045681614,-9.547772690519968e-4,-0.017315243894151615
27,16,-0.0017540037435220595,0.006393334063688404,-0.010621790530007776
27,17,-4.5115088715105616e-4,0.007167501041057725,-0.0077762762435658874
27,18,-0.008964316839873955,-0.0022497844737336802,-0.01554305514923662
28,1,-0.102268442865559,-0.07189822737441691,-0.13262268356640117
28,2,0.014352936355664127,0.04929318621787868,-0.020139607019934568
28,3,-0.046986098940871676,-0.014730657060117506,-0.08075366073958071
28,4,-0.006829296411879397,0.02462508549291872,-0.037992271558952115
28,5,0.016563601283887668,0.04673544123740762,-0.01356708760534377
28,6,-0.01643893686476111,0.016001543370599728,-0.0480325028451101
28,7,-0.0545111197263885,-0.02051899759001589,-0.08890894017985936
28,8,-0.04683023662695978,-0.013789444861737608,-0.07898702739369617
28,9,0.004050642129726195,0.036431639569036486,-0.028255679483537015
28,10,-0.006424200939468378,0.02415778477237463,-0.037570402994463695
28,11,-0.0252643133940519,0.007357754572575055,-0.05949837401863974
28,12,-0.11477955445367288,-0.088765385177974,-0.14096259460531277
28,13,-1.8235177180247857e-4,0.03189784588532874,-0.03256523257003676
28,14,-0.05843097736415587,-0.026426626096716335,-0.0905649080671563
28,15,0.00294264236447757,0.034783619355208316,-0.030319305360633597
28,16,-0.039631464825766155,-0.004993326252145457,-0.07319468562180854
28,17,-0.006955965214259017,0.022008870783203592,-0.03574010981120487
28,18,0.10898867456131502,0.13906341281469622,0.07913920898964241
29,1,-0.03961827043227722,-0.01634540417536018,-0.06399985942848149
29,2,0.019973303707021575,0.047600046540920746,-0.006836121386644474
29,3,-0.004148490097301399,0.02202552176104109,-0.031070225925711677
29,4,-0.009121532199842214,0.018318138784224794,-0.035831819165702036
29,5,0.008226434648572709,0.031883109025308845,-0.015308497267503336
29,6,-0.030286400579591657,-0.003415660026424015,-0.057205933077547455
29,7,-0.028941754372782562,-0.0010693786498552939,-0.05754822979721817
29,8,-0.03401394353321581,-0.006255980206382574,-0.06164053242061043
29,9,-0.013648484252002914,0.01319251556543603,-0.04072215736410168
29,10,0.005430943131955414,0.031685010831482265,-0.021806893849373427
29,11,-0.0065018605615687515,0.01955063424461818,-0.03184841496983824
29,12,0.01776715080440462,0.038172047202134754,-0.0020394913643840763
29,13,0.004110656060273841,0.031193930529165585,-0.024079783167745082
29,14,-0.019049182514999662,0.006983410427153677,-0.04539380069212367
29,15,-0.042884007207519496,-0.01622635516655769,-0.06926314475950869
29,16,-0.011710313105405663,0.01658606309419576,-0.0384388470558666
29,17,-0.0015796660969462704,0.022912783176190506,-0.026148305341720485
29,18,0.013598068119378508,0.03961578784462107,-0.012132735809099402
30,1,-0.0046351441347563475,0.006639239189901979,-0.016417707619405725
30,2,-0.014492369759473458,3.0867610377919663e-4,-0.02885701462067301
30,3,0.016918875301927414,0.03085154593900138,0.002938464321928051
30,4,-9.400637645308294e-4,0.012210438447243632,-0.01495106185950926
30,5,0.0067315462927641095,0.01815985462502177,-0.0054529861065804935
30,6,4.1322190991917264e-4,0.013610746360522591,-0.012439918923492688
30,7,-0.020444258158296428,-0.005729811035560242,-0.035128964215708984
