date,Chamber,PdfDocId,chamber_type,URL,file_name
1908-12-01,Legislative Council,HANSARD-290296563-7123,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7123,NSW-1908-12-01-C.pdf
1908-11-27,Legislative Assembly,HANSARD-290296563-3268,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3268,NSW-1908-11-27-A.pdf
1908-11-26,Legislative Assembly,HANSARD-290296563-3267,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3267,NSW-1908-11-26-A.pdf
1908-11-26,Legislative Council,HANSARD-290296563-7122,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7122,NSW-1908-11-26-C.pdf
1908-11-25,Legislative Assembly,HANSARD-290296563-3266,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3266,NSW-1908-11-25-A.pdf
1908-11-25,Legislative Council,HANSARD-290296563-7121,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7121,NSW-1908-11-25-C.pdf
1908-11-24,Legislative Assembly,HANSARD-290296563-3265,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3265,NSW-1908-11-24-A.pdf
1908-11-24,Legislative Council,HANSARD-290296563-7120,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7120,NSW-1908-11-24-C.pdf
1908-11-20,Legislative Assembly,HANSARD-290296563-3264,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3264,NSW-1908-11-20-A.pdf
1908-11-19,Legislative Assembly,HANSARD-290296563-3263,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3263,NSW-1908-11-19-A.pdf
1908-11-19,Legislative Council,HANSARD-290296563-7119,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7119,NSW-1908-11-19-C.pdf
1908-11-18,Legislative Assembly,HANSARD-290296563-3262,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3262,NSW-1908-11-18-A.pdf
