original; corrected
regardscasting; regards casting
regardtotemporaryappointments,anyone; regard to temporary appointments, anyone
regress ive; regressive
regret tably; regrettably
rehetoric; rhetoric
rel evant; relevant
rela tively; relatively
render ing; rendering
Rep resentatives; Representatives
Repatri ation; Repatriation
replenish ment; replenishment
Represen tatives; Representatives
repu tation; reputation
requir ing; requiring
require ments; requirements
res toration; restoration
reser vations; reservations
respDnse; response
respon sibilities; responsibilities
respon sible; responsible
responsi bility; responsibility
retrospec tive; retrospective
rev enue; revenue
Righi; Right
rungMr; rung Mr
s o; so
S ome; Some
s upporters; supporters
sal ary; salary
satisfac tory; satisfactory
scru tiny; scrutiny
sec ond; second
sec ondly; secondly
Sec retary; Secretary
sec tion; section
sec tions; sections
Secre taries; Secretaries
secu tiry; security
secur ity; security
see ing; seeing
seised; seized
selec tive; selective
Sep tember; September
ser vices; services
servicedblocks; serviced blocks
shallnot; shall not
sig nificant; significant
sig nificantly; significantly
sim plicity; simplicity
situ ation; situation
slalary; salary
small,but; small, but
so.far; so far
sol diers; soldiers
SouthWalespolicy; South Wales policy
Speaker,with; Speaker, with
StatcJ; States
state ment; statement
States.It; States. It
StGeorge; St George
StJohn; St John
struc ture; structure
sub ject; subject
Sub stantive; Substantive
subjects.may; subjects may
substan tially; substantially
substitut ing; substituting
suffer ing; suffering
sug gesting; suggesting
sugges tions; suggestions
sup plement; supplement
sup port; support
superannu ation; superannuation
supplemen tary; supplementary
Swit zerland; Switzerland
Syd ney; Sydney
sym pathetically; sympathetically
sys tem; system
t hat; that
t hese; these
t hrough; through
t o; to
ta-xes; taxes
Tariff.There; Tariff. There
Tarilf; Tariff
Tax ation; Taxation
tax ation; taxation
taxincludescapitalgains; tax includes capital gains
tbat; that
Tech nologies; Technologies
Telephoneoffice; Telephone office
temporaryemployes-andthetakingofthe; temporary employes - and the taking of the
tend ency; tendency
ter minal; terminal
Ter ritory; Territory
that ] will; that I will
that,as; that as
ThattheBillbe; That the Bill be
thatthese; that these
thatwhat; that what
the.salary; the salary
theaddition; the addition
thecommissioner; the commissioner
theEnglish; the English
them selves; themselves
thenhands; then hands
thepositionisyoung; the position is young
There fore; Therefore
therecommendation; the recommendation
thereforemove; therefore move
Thereisaprovisionin; There is a provision in
theremay; there may
theway; the way
thewedge; the wedge
thou sands; thousands
thug gery; thuggery
timecivil; time civil
timejustify; time justify
tne; the
toadvise; to advise
toattend; to attend
toinclude; to include
toshut; to shut
totheir; to their
tra dition; tradition
Training Vnit; Training Unit
transpDrt; transport
travel over seas; travel overseas
Treasuer; Treasurer
TreasurerMr; Treasurer Mr
tremen dous; tremendous
Tri bunal; Tribunal
tri bunal; tribunal
tri bunals; tribunals
trms; terms
truecourse; true course
U nder; Under
U nited; United 
Uberties; Liberties
under standing; understanding
underparliamentary; under parliamentary
undesir able; undesirable
undoubt edly; undoubtedly
unem ployment; unemployment
Unem ployment; Unemployment
unemploy ment; unemployment
unequivical; unequivocal
unfortu nately; unfortunately
Uni versity; University
unin terrupted; uninterrupted
uninten tional; unintentional
unpredictabe; unpredictable
val idity; validity
vari ous; various
ve hicle; vehicle
ve hicles; vehicles
Vic toria; Victoria
Vic torian; Victorian
visit ing; visiting
WDrkers; Workers
wDrking; working
Weareasked; We are asked
Wed nesday; Wednesday
wel fare; welfare
weregranted; were granted
Whatwould; What would
which ave; which have
which J believe; which I believe
whichpeasants; which peasants
who.are; who are
whohashadexperienceoftheworkofthe; who has had experience of the work of the
win dow; window
win ning; winning
witheach; with each
withhisservices; with his services
withinmy; within my
worth while; worthwhile
Wouldit; Would it
WQrks; Works
yearsshown; years shown
yes terday; yesterday
yourletterdated; your letter dated
1 rise; I rise
1he; the
A.L.P; ALP
A.N.Z.U.S; ANZUS
ablebodied; able bodied
ableto; able to
abonus; a bonus
abovementioned; above mentioned
accordancewith; accordance with
ActingMinister; Acting Minister
ActingPrime; Acting Prime
ActingTreasurer; Acting Treasurer
actionwas; action was
AddressinReply; Address in Reply
advantageof; advantage of
after13th; after 13th
afterthe; after the
againstthe; against the
AgentGeneral; Agent General
AgentsGeneral; Agents General
agood; a good
agreat; a great
airconditioned; air conditioned
airconditioning; air conditioning
aircraftsman; air craftsman
Al!; All
AlburyWodonga; Albury Wodonga
allimportant; all important
allnight; all night
allparty; all party
allround; all round
allthe; all the
allweather; all weather
althoughI; although I
alwavs; always
alwaysbeen; always been
